label,message
1,"A new and ""Green"" township will be rising in the South, MAPLE GROVE.

For the first time, Megaworld is offering a chance of a lifetime to acquire the most prime COMMERCIAL LOT(s) in the rapidly developing business district of Gen. Trias Cavite.

Lot sizes range from 440 to 1,000 sqm (with option to combine)

Limited inventory only. Get yours at PRE-SELLING prices TODAY! We are now accepting reservations.

For more details and information, please contact:

Andrew @ ++63917****689"
1,"New OFFICE space for sale in Ortigas Avenue near ""The Grove""

For inquiries, please text your email.
Text No to Stop.

Thank you,
Jenn Sam"
1,"Celebrate the season of love with a sweet staycation and an intimate dinner for two by the poolside at your urban oasis, Edsa Shangri-La, Manila. Call 633 8888."
1,"Shangri-La Updates:

RISEmakati

-One-of-a-kind residential & commercial development
-Premier outstanding amenities
-Prices start at 5M

Inquiries are welcome!

Pls. reply w/ your name & email add for more details

Contact Us:
info@shangrilapropertiesinc.com

www.shangrilapropertiesinc.com/rise-makati"
1,"Co in Makati needs Software Java Developer, knowledgeable in JAVA,  in design, development & implementation of software applications , can start asap, kimphil28@gmail.com"
1,"Co in Makati needs Software Java Developer, Bachelors degree, knowledgeable in JAVA, in design, development & implementation of software applications , can start asap, kimphil28@gmail.com"
1,"Co in Makati needs Software Java Developer, Bachelors degree, knowledgeable in JAVA, in design, development & implementation of software applications , kimphil28@gmail.com"
1,"Dine, swim, and get away for a day without having to leave the city at Edsa Shangri-La, Manila's HEAT, The Sunday Side, for Php2,400net per person. Call 6338888"
1,"The LAST pre-selling low-rise condo in BGC is now available in Special Low DP, 0% Int terms.

Experience low density living with private elevator access per unit that promises overwhelming views of Forbes Park and BGC skyline at THE ALBANY. VERY RARE FIND, LIMITED UNITS await you. Choose from spacious 2BR to 3BR units with luxe finishing.

*Very Prime Pre-selling Commercial lots at Maple Grove in Gen Trias. Cavite for Sale!

For inquiries, please contact ANDREW @ +63917****689"
1,"Now Available:
""INSTANTLY AGELESS""
Effective and proven to erase eyebags and wrinkles in 2 minutes.
Made in USA.
If interested to buy, please reply."
1,"Shangri-La Updates: RISEmakati

-One-of-a-kind residential & commercial development
-Premier outstanding amenities
-Prices start at 5.2M

Pls. reply w/ your name & email add for more details

Contact Us:
info@shangrilapropertiesinc.com

www.shangrilapropertiesinc.com/rise-makati"
1,"RESALE OFFICE and CONDO UNITS VERY MUCH LOWER THAN MARKET PRICE!

- Ortigas, Makati, MOA Area
- 25-150 sq.m available
- Enjoy big discounts
- Assume balance 0% interest

SMS for inquiries - Thank you"
1,"Introducing the latest 140-hectare ""green city"" business district & township development in the South, the MAPLE GROVE.

COMMERCIAL LOTS are up for sale at this budding Makati-inspired business district in General Trias, Cavite - only 20 minutes away from Mall of Asia and Entertainment City via CAVITEX.

Lots from 439 to 1,750 sqm are available. Office buildings, business hotels, medical facilities, etc. may be built on these lots.

Avail now at pre-selling prices and be one of the few owners of commercial lots at the FUTURE CENTRAL BUSINESS DISTRICT this country's biggest developers are developing.

For a presentation on the project, please contact our sales manager, Ms. Beatrice, at +63917****998.

Megaworld Corp."
1,"Megaworld's Newly launched Pre-selling Prime Commercial Lots!

Maple Grove is an integrated CBD township in the fast emerging Gen Tri. Cavite spanning 140 hectares.

Curated cuts of 407 to 1,000 sqm (with option to combine)

- Extensive road network
- Ready captive market
- Easily accessible via Daang Hari, CAVITEX, CALAX and Governor's Drive

Starts at only Php 53K/sqm! First Come, First Serve.

Watch how progress unfolds!

For inquiries, contact ANDREW at: +63917****689"
1,"The Biggest redevelopment along C5 in now ongoing! 16 hectares mix-used master planned community by ""Ortigas & Company in Synergy with Ayala Land"", neighboring well-knowned communities like Valle Verde will soon cater your needs.

The 1st residential tower within this community will soon be up for grabs. Be part of the this luxurious community at an affordable price.

For inquiries, kindly reply with your name and email address."
1,"*Pre-selling OFFICE SPACE for sale
*Condotel for Sale.

*Ortigas & Co. projects in partnership w/ Ayala
3-22% DISCOUNT promo!
Only 145-165K per sqm only!
High-end Condo & high-end community

New project w/ launch very soon in Ortigas East ""Tiendesitas"" 50B redevelopment Plan

SMS email address for details."
1," A Modern Ortigas

> P50-B redevelopment of Ortigas East formerly Tiendesitas ""The Greenbelt of C5""
> High End Community like Serendra BGC
> Townhouse, Condo, Office for Sale 
> Condotel (HII) 
> Developed by Ortigas in partnership w/ Ayala

For details pls reply w/ your Name & Email

Harry 
+63917****188"
1,"Are you into Properties in BGC, MAKATI, MOA, SAN JUAN, BINONDO & PASAY AREA?

Lease to Own Properties available in Makati.

Just reply with your name and email address for quotation.
Many thanks!"
1,"[PondoPeso]You are granted P40000 Credit on Jan 9. Complete your profile and apply. Get cash in 12 hours.
Visit: bit.ly/Googleplay_Pondopeso
opt-out:text NO"
1,"The Albany by Megaworld will be the 1st condo in BGC that will be SMART HOME equipped! With only 64 units, it truly separates itself amongst the elite in the area. 

Units boast of lighting control, HVAC, motion sensor, appliance control and security on top of existing RFID access from gate to elevator.

Units and parking:
2BR (123 sqm) - P35M
3BR (134 sqm) - P38M
Penthouse (349 sqm) - P99M

*Maple Grove Commercial Lots @ Php 57k/sqm only!

Call ANDREW at +63917****689"
